indicator,indicator_name,use_code,building_use_group,last_use_discontinued,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D1,Historical status,290,Production & energy,true,4409,2484,56.33930596507144,2476,99.6779388083736,483518,75.0
D1,Historical status,210,Agriculture,true,104897,56065,53.44766771213667,55975,99.83947204138055,12988493,131.0
D1,Historical status,230,Production & energy,true,5145,2593,50.39844509232264,2585,99.69147705360587,366700,17.0
D1,Historical status,390,Commerce & services,true,1597,691,43.2686286787727,691,100.0,87292,46.0
D1,Historical status,310,Transport,true,3350,1320,39.40298507462687,1319,99.92424242424242,410205,120.0
D1,Historical status,520,Leisure,true,1116,349,31.272401433691755,346,99.14040114613181,58068,41.0
D1,Historical status,220,Production & energy,true,18284,5102,27.904178516735946,5091,99.7843982751862,2769390,200.0
D1,Historical status,490,Institutions,true,2059,514,24.963574550752792,512,99.61089494163424,123491,108.5
D1,Historical status,440,Institutions,true,5333,1170,21.938871179448714,1170,100.0,269680,161.5
D1,Historical status,330,Commerce & services,true,6038,1265,20.95064590924147,1265,100.0,334198,85.0
D1,Historical status,530,Leisure,true,3969,829,20.88687326782565,828,99.87937273823884,257201,104.5
D1,Historical status,420,Institutions,true,11989,2419,20.176828759696388,2419,100.0,1113921,171.0
D1,Historical status,320,Commerce & services,true,34225,6905,20.175310445580717,6888,99.75380159304852,3334956,165.0
D1,Historical status,410,Institutions,true,3110,553,17.781350482315112,553,100.0,204194,123.0
D1,Historical status,430,Institutions,true,1861,236,12.681354110693178,236,100.0,239549,456.0
D1,Historical status,130,Housing,true,178208,3207,1.7995825103250134,3207,100.0,505320,92.0
D1,Historical status,215,Agriculture,false,5190,892,17.186897880539497,892,100.0,1260483,598.5
D1,Historical status,999,Outbuildings & other,false,38692,6334,16.370309107825907,19,0.29996842437638144,1100,0.0
D1,Historical status,990,Outbuildings & other,false,782,119,15.217391304347828,37,31.092436974789916,6043,100.0
D1,Historical status,190,Housing,false,9266,1387,14.968702784372976,1382,99.63950973323719,117074,48.0
D1,Historical status,214,Agriculture,false,28064,3771,13.437143671607753,3771,100.0,1439350,212.0
D1,Historical status,213,Agriculture,false,6454,748,11.589711806631547,748,100.0,88005,46.0
D1,Historical status,930,Outbuildings & other,false,1230748,120227,9.76861225856146,3199,2.660799986691841,376145,83.0
D1,Historical status,219,Agriculture,false,54915,5361,9.762360010925976,5361,100.0,1131837,105.0
D1,Historical status,315,Transport,false,245,23,9.387755102040817,23,100.0,11860,144.0
D1,Historical status,590,Leisure,false,20830,1913,9.183869419107058,1907,99.68635650810246,164455,31.0
D1,Historical status,229,Production & energy,false,7569,679,8.970801955344166,679,100.0,143911,70.0
D1,Historical status,234,Production & energy,false,2967,251,8.459723626558814,251,100.0,58821,54.0
D1,Historical status,439,Institutions,false,878,71,8.086560364464694,71,100.0,16195,84.0
D1,Historical status,910,Outbuildings & other,false,589301,46312,7.858802208039695,426,0.9198479875626187,28842,51.5
D1,Historical status,920,Outbuildings & other,false,705406,55265,7.83449531191966,68,0.12304351759703248,5171,40.0
D1,Historical status,970,Agriculture,false,126311,9353,7.404739096357403,9122,97.53020421255212,165632,0.0
D1,Historical status,211,Agriculture,false,40953,2759,6.73699118501697,2759,100.0,738786,190.0
D1,Historical status,329,Commerce & services,false,5132,344,6.703039750584567,344,100.0,89536,87.0
D1,Historical status,231,Production & energy,false,2359,153,6.485799067401442,153,100.0,57586,50.0
D1,Historical status,233,Production & energy,false,5344,342,6.399700598802395,342,100.0,36672,30.5
D1,Historical status,960,Outbuildings & other,false,9847,627,6.367421549710572,11,1.7543859649122806,228,18.0
D1,Historical status,950,Outbuildings & other,false,59125,3734,6.315433403805497,41,1.098018211033744,2178,23.0
D1,Historical status,160,Housing,false,9610,606,6.305931321540062,605,99.83498349834984,391739,320.0
D1,Historical status,216,Agriculture,false,45150,2728,6.0420819490586934,2728,100.0,562984,153.0
